MedicationID,MedicationName,MedicationNDC,MedicationFormularyCode,Ingredients
00b49f60-8ca3-5154-999f-a92cbc72284c,Tetanus Toxoid Adsorbed,49281082010,TTOX5I,
00b588b1-d578-569c-91d0-96aa63c5c0b7,,,,"Medication/c227517b-dc68-597b-95d4-6df237f6ac08, Medication/2a01db78-fedc-50e0-b545-d44fa4aa8c71"
00b85776-17af-5fd2-a2cb-4e5d45b7f32d,Exelon,,,
00b9992a-07da-595c-9035-6c74b8f54798,rOPINIRole,43547026810,ROPI25,
00b9a72e-f87d-5a48-9c6b-8038fed4b90c,Povidone Iodine,67618015001,BETAQL,
00b9baef-84be-5fb1-86f1-230a3d67ded1,Hydroxyzine HCl,,,
00bed665-414f-5cc5-9ded-a1f81336e18f,binimetinib,,,
00c668d9-d6c6-5125-8ac9-8a0edbb31ba1,,,,"Medication/237f2ac1-50d3-516c-b2a2-cf2ee0b2f866, Medication/10f7b0e1-4dc8-55a0-a610-a888b341cbfe"
00c7bbe4-cf8b-5a31-8415-7837045f0a8c,,,,"Medication/20c4abf8-679a-5eca-ab8a-6b65facf6eb2, Medication/2b2d3a39-ca72-5dfc-a66f-e13c931529c8"
00c7c04e-47b7-5845-b81c-c8e741d5e4dc,Ferumoxytol,59338077510,FERU510I,
00c7faf8-3f6f-511e-8ccc-59f796a338e6,Aciphex 20mg,,,
00c827c1-bce6-521b-bd29-46931bc3b4ed,Levsin,58177025504,LEVS125,
00c87d51-459d-5c0c-b02f-3184a6e7d9df,,,,"Medication/2b431175-1825-597f-b698-bb83f6b4f88f, Medication/aa4a0fd5-c30d-5fff-a422-fedfcf1a8358"
00c8c29b-5c70-57a3-8d17-c2fa560438a1,,,,"Medication/8b7e18e1-112b-5300-80d7-a006ee24bc0c, Medication/e3e374f6-ac19-549f-b412-3bf3a59d244b"
00cdbab2-4bc8-5b4f-a656-929f8e4ac71a,Oxazepam,00228206710,OXAZ10,
00cdf55b-a545-5b86-955f-099c40c94784,Percocet 7.5 mg-325 mg ,,,
00d20c92-0236-5c8c-ab94-b193656bd1bb,,,,"Medication/d75cdde2-dc7a-512b-9e07-bf1190a2168f, Medication/dfa3e629-cca3-5e3b-849e-81f5c920b991"
00d702b6-3aa2-5396-ab4f-fd19039a942f,Visine-AC,,,
00d77ae6-5db4-5aa1-8fbc-fd602802ac00,Gattex One-Vial,,,
00d8c74e-852c-5a34-95f7-c71fba0d90cf,camphor-menthol,,,
00dc10f1-2103-5dc2-99b5-b32d9ca6e3b2,Entecavir,00003161412,ENTE0.05L,
00df4637-bde9-5835-bf3d-d081380d98c2,Mineral Oil,48433020230,MINE30L,
00dfa92f-b758-5ce8-ae59-ca2ba796a30a,Carbidopa-Levodopa CR (25-100),51079075620,SINE25100,
00eba053-3a36-587a-9633-4bee4ddfbe29,liraglutide,00169406012,LIRA6I,
00ec14d0-a16b-5134-bc7a-e0e9a53a2d72,Reopro,00002714001,REOPI,
00ee6843-24fa-5fe8-ab35-3e93dfbe9604,Fondaparinux,67457058304,FOND5I,
00f104d3-ba79-54b8-b7d3-0b61d24e558e,irbesart,68180041109,IRBE150,
00f21ed0-d28b-5017-80f6-d113e9e99ac4,Clindamycin Gel,,,
00f247a4-4e6e-55e3-af4b-2c62b4ed5a7d,multi,00904504260,MVITH,
00f27b34-5ed7-545e-8c51-039cf9861427,,,,"Medication/f3ccce97-f20a-5d36-ad1f-8fcaa4fd9f01, Medication/ec7ae745-de55-5819-8095-d77528dd8124"
00f9d39e-0853-5343-9919-03db658892d8,,,,"Medication/fe67f0cb-8769-5650-a028-8ee2d82b40de, Medication/69e4ec3a-7c23-532a-ba4d-53a3410af5c5"
00fe36dc-2c1b-509c-9845-32a40b76a436,Enoxaparin Sodium,00075062160,ENOX60I,
0101cc4e-98ae-5211-b3cf-4406aadd4df2,Mycophen,00004026129,MYCO500L,
0102768f-2188-5944-96c5-25698d4a4595,etravirine,59676057001,ETRA100,
0102a2ef-4458-5a5b-b385-cf1fc431c6c0,,,,"Medication/522a8a82-ef96-567a-aa4c-398268babda6, Medication/e5833d39-7caa-5ea3-bb39-155c709aeab0"
01068afb-4922-53cf-9c55-8fb069799b53,,,,"Medication/7ab24ff8-d78f-57df-8785-c66ea95911ff, Medication/4e2c5a3c-e27c-5d1f-801a-768139744ec3"
01073958-78e9-55cc-9de5-8b6fee5f73f4,,,,"Medication/8108717a-a011-523f-b11a-a31b29a69e07, Medication/7c46a14c-af29-58d1-9e4d-6a064c39d856"
0107fddc-4c70-5e75-9a3b-f997afb01e17,,,,"Medication/1a5c667c-527c-5914-a408-57d40b91294b, Medication/b08e652d-890f-50e2-b1d9-220a9ded0e77"
01080e07-f81c-5dfd-944b-7ca9d10c92cf,INV-DAS181,,DAS181,
010bdfa9-4dde-599a-92b1-8ef0ecc6140f,,,,"Medication/669ee80c-5256-59e3-a295-b4cb84114600, Medication/a8b49cf4-d348-55da-b844-ff1c2065cb85"
010d666a-3c16-55ae-8346-31ae9ab54675,LaMICtal ER,,,
010e3c25-da71-50ec-8d0a-b778f4c0acd3,,,,"Medication/e9bace7e-93a0-5b29-9154-1f130741bb2b, Medication/dc81bf0e-cd85-5a03-b553-b01fe0462877"
010eddb8-0649-5574-aa9d-65f3da03b192,Ledipasvir/Sofosbuvir,61958180101,LEDI/SOFOTAB,
01100d82-1454-5aec-9199-0c9880c56b3e,adderall,00115132801,ADDE5XR,
0110309e-15d8-5817-836d-abcc5bf7957e,Pulmicort  180mcg,,,
0114dac5-9040-5dd4-a919-85ab05df9143,,,,"Medication/b337d9d6-96a8-59bc-af57-b3cf36745843, Medication/2b2d3a39-ca72-5dfc-a66f-e13c931529c8"
01187ef8-8321-5a60-9ea3-03577c508a59,acetam,00713016550,ACET650R,
011db97c-88ad-507c-981c-578c09cb5a88,,,,"Medication/bd5cd954-d01f-5aaf-a28a-1db7d4b2cdb8, Medication/be0d8acd-e091-5d66-ae68-8a7b998f8e9e"
011f5833-4bb5-5c66-8589-37bcff87b57e,Sportscreme,,,
011f9354-7521-5240-b7ab-66417359cec3,,,,"Medication/8f539070-b4f0-52b3-a117-ee0462a9eebf, Medication/3b3a088a-65c9-5599-937d-c6769aec3a08"
01218b0b-cc79-55f1-96e2-4d3fb9e29837,Azithromycin,68084027801,ZITHR250,
0123ffa3-dc28-5a35-a9ef-552177a99433,Besivance,,,
01258818-51d3-57e8-853f-fd2c790e6b5e,,,,"Medication/8cc4149c-16cd-5690-a29d-4a04eda79a81, Medication/dfa3e629-cca3-5e3b-849e-81f5c920b991"
012f5f06-90d2-5503-878b-263313b2a9a1,Aviane 0.1-20mg,,,
013347e6-632e-59ea-a08c-b2f60f22d26b,Sunitinib,00069077038,SUNI25,
0135c770-9d85-5977-bcdc-8cf32bfa0f6d,Magnesium Oxide,00165002241,MAGN400,
0138389d-53b8-5763-a8bf-44c746b6ed8b,Levemir 100 units/ml,,,
01385e3a-12df-5173-a0ee-fcb2a7a3c208,vancomycin,63323031461,VANC500L,
01399bb7-f36b-5eab-8d45-5d5d93c8a71a,Folgard,00182050789,FOLI1,
013ab2e3-ac7f-593f-acf0-50fc64280625,simethicone,00536222075,SIME40L,
013ba77a-1ef8-5483-8267-44677e7ca46c,Ethacrynate Sodium,00006362050,ETHA50I,
013ff67e-8ef9-5d8f-8d2d-aa7cfd356763,Cortisone (hydrocortisone),,,
014141ba-7ed7-530f-b406-a621da212ee4,,,,"Medication/cf24cc8f-d020-5ef7-9bd2-ec0649bb8381, Medication/e0c84750-ce7e-5d5c-88f6-e950bed057b2"
01418b73-9a07-5050-aa07-52d8d0607098,Aspirin Desensitization (AERD),00536100836,ASA81,
0143876f-cce7-5093-8fdd-57c5397a411d,,,,"Medication/9f4d38f9-42c5-56b3-94f7-9d928f9b1ad9, Medication/d8c5f7b1-06b9-5804-a54c-f831f11bb86a"
014557df-887e-5097-af7f-5f1d3990844e,tamsuLOSIN,51079029420,TAMS.4,
0145d9ff-2536-5f08-8b60-93c3d3a39693,Gastrocrom,00037067896,CROM200,
0146ccc1-b829-52b6-9a4f-fda26e2f1d00,Atorvastatin,00904629304,ATOR80,
014732b9-641e-5208-8d96-97fc6418ce90,,,,"Medication/6df72ed0-dbfa-5451-9830-dbec1a1f5de6, Medication/775582a5-2c60-58c9-8723-2ab8bffd8d6c"
0148e26e-61dc-5298-bbcf-6faadb3ca77f,interferon beta-1a,,,
014ab169-5988-5f8c-a6bd-e2c1b20971fa,Erythromyc,00074636902,EMYC200L,
014c757e-7e15-5dd2-a007-7de76093d55b,Methotr,51079067005,METH2.5L,
014cc5ff-e09f-5c1f-8312-713cbd5ac930,darifenacin,,,
014d87d7-5de4-520a-bd3f-786bd7355692,Aspirin Low Dose,63739027201,,
0150146d-8919-507a-8f26-d385ebe0cb27,Buprenorphine-Naloxone (8mg-2mg),12496120803,BUPNAL82SL,
0150a9f3-4ae1-5a33-9e34-3583bd202fc3,rizatriptan,,,
0151eb55-e850-5a30-9903-49f3fe83b8a7,Nortriptyline,68084003201,NORT25,
01526792-8c75-530c-a859-b50f280bc481,,,,"Medication/fe67f0cb-8769-5650-a028-8ee2d82b40de, Medication/c1080604-edc1-5c52-88d4-69881e7e93d4"
0155a45c-d315-5435-82d3-ee95d49e5c4d,Albuterol MDI,17270072101,ALBU17H,
0158edc0-1857-5d79-b424-d0e6dbd0bb45,Cerefolin NAC,,,
015cddeb-cf14-5d15-9775-2d46b6ea8aad,MetRONIDAZOLE (FLagyl),51079012620,METR500,
01601b40-6c94-514b-975d-55435e5682ed,,,,"Medication/525fac6f-fefc-5cca-be32-8017d9e6370e, Medication/6e301f5c-6488-5003-9b33-0de7a0873fcc, Medication/525fac6f-fefc-5cca-be32-8017d9e6370e"
01630c04-e8cb-5912-a67b-672183ee0b6d,Oseltam,00004080285,OSEL30,
0168ac49-5a36-5dcd-9f7a-8da589f40083,DiCLOXacillin,49999026728,DICL250,
0169d134-e0f8-59dc-8b6f-1999278e3644,,,,"Medication/6a03c095-8bc2-5a05-83fe-ee132f4e57a9, Medication/dfab4497-579c-59bc-ac5e-f1dcf26b79d1"
016d26ee-991b-5703-9975-31a54433af2b,Pancrelipase 5000,39822020501,PANC5000,
016d2909-deea-569e-8b6e-42cbef1cd6e2,Aspi,00904404073,ASA81,
016fbe0a-ee13-53d3-af3f-53ec69660a97,PERI-COLACE,,,
017bb8ee-a8dc-5f38-a056-77e891ffb853,,,,"Medication/be8be329-a20b-57df-ab7a-7905ea0769c6, Medication/b5591e78-93eb-5138-a9ad-5eecd00495a7"
017e9b01-4051-5471-b19b-417cfcfd5ebe,Itraconazole,67877045430,ITRA100,
017fba5d-6cfb-5324-a181-11d692647023,*NF* Beclomethasone Dipro 80 mcg Inh,59310017780,BECLINH,
01823e0e-eada-5c90-8761-6846da68a4b6,,,,"Medication/bced2ef0-1b2f-5bef-a737-4d2afc7d7878, Medication/65d68458-b7d5-50ce-8b7d-9dc340b9b7fd"
018a751c-ce81-51c1-8e0d-be5f27d7900b,Lidocaine 1% P.F.,00409427001,LIDOPF130I,
018d145f-076f-5639-8c16-b3bda0cf04ba,Nafcillin Graded Challenge,55150012215,NAFC1000GC,
018de94f-08aa-5a82-a7c8-afe3e52418c8,rOPINIRole,68084019501,ROPI25,
018f1e2d-1c40-5a39-b47e-de802bc1fbc6,,,,"Medication/b32d3019-581e-561f-90f8-792042557e20, Medication/2b2d3a39-ca72-5dfc-a66f-e13c931529c8"
0191fd22-f266-5304-b09f-492a4fa0d6ea,,,,"Medication/efd26a17-41a6-5bf4-a9af-2b5a901ec69e, Medication/3463eaec-35b1-513b-bb59-95203585a8d7"
01924dd3-df64-5852-8141-15e718a5c70b,OLANZapine (Disintegrating Tablet),50268061613,OLAN10ODT,
0195406e-9e11-58bd-8474-3365f6f3495b,,,,"Medication/9048b03f-7b32-5a31-a135-8a713c0ee771, Medication/aa4a0fd5-c30d-5fff-a422-fedfcf1a8358"
01977fd9-6d0f-5cf4-a6d0-d17ebcd9c393,Diazepam,00409127332,DIAZ10I,
019e8816-a102-59a2-acf1-8807fda7c5a8,,,,"Medication/41aea96f-8e4e-5655-951b-311f298b0443, Medication/2b2d3a39-ca72-5dfc-a66f-e13c931529c8"
019fff04-868e-5717-bc77-2fc68333e0b3,methadone,00054855324,METD5,
01a2c45b-9ca3-5a75-bce7-80b13defdc79,Thyroid,00456046163,THYR120,
01a7a208-8add-59b8-a7b3-6e0cbcf49e77,,,,"Medication/d54937a2-7681-5184-b8cd-6669d81a709a, Medication/2b2d3a39-ca72-5dfc-a66f-e13c931529c8"
01b05395-e59a-5d89-9266-442bba51f24b,,,,"Medication/148ca77a-cd68-5131-93e9-9084d291efb7, Medication/ec7ae745-de55-5819-8095-d77528dd8124, Medication/a5b1d250-9586-5aec-91a9-5a15ebb9e416, Medication/e3f4a583-c4a5-5951-ae33-1f3d376acb1b"
01b42ae4-1c3d-5320-a45b-60fc38783681,predniso,00054001820,PRED20,
01b44c50-9e62-5745-a199-38d1db201976,Levbid,,,
01b66871-51b4-5b97-b03a-67249b132d08,Epoetin Alfa,59676030201,EPO2I,
01b6adbd-0471-57a6-b46a-5848490a3b46,,,,"Medication/5c38c3b0-05d0-5b11-8ec2-e86572278a91, Medication/e4cb1056-04e9-581c-9a83-1a15c68b7b7f, Medication/fceda12e-0392-588f-82b9-a5f82d7941e9"
01bb4483-6efe-5876-8574-2b21116762eb,ATRIPLA,00074444005,ATRA50I,
01bcc130-a9a3-5f29-9cc8-e4b2a2e66e93,methylphenidate,,,
01c3eedf-f39e-50a3-bbef-e3ec1897fe1f,EPINEPHrine,76329331601,EPIS10I,
01c4a722-c800-5633-9e2e-e51d64b014de,Terbinafine 1% Cream,51672208001,TERB1C,
01c7ae4f-c9d7-5c22-b431-06fafb431f8e,,,,"Medication/a5d6c7dd-8a07-564c-9735-cade28e91b09, Medication/053ca632-2223-5ce0-9e43-fc045874afff"
01c7e077-d2e3-54ad-a0b9-03dcd78d3f27,NexIUM 24HR,00186504228,ESOM40,
01ca9b1d-0fca-5997-82bb-f59da4fcbcad,,,,"Medication/dd5d19cd-9b6a-5673-887c-762a2fc1af53, Medication/654db87c-1d1d-54d2-a61d-12d96a31766a"
01cd2cc1-7298-5e86-aa8a-d3586de356f0,Imodium A-D,50580029304,LOPE1/7.5L,
01cedee1-f495-5f5d-8f9d-01c791696016,Cyclopentolate 1%,00065039602,CYCL1/2ES,
01cf462b-4118-520d-9494-01cf5b927f28,Nystatin Cream,00168005430,NYSTC,
01d19195-b38b-52de-902b-af00ee8ea28b,Vancomycin 25mg/mL Ophth Soln,67457033950,VANCO25O,
01d3b06f-7351-5100-8186-8e600309ffb2,OSELTAMivir,70710100802,OSEL30,
01d6c3ab-2ab3-5666-ada3-429ef2e6aee5,Vyvanse,,,
01d70168-bb2d-5a69-92cc-edf4f2a68e98,INV Enoxaparin,00075062280,ENOX40IND,
01d7cfa3-158f-57a8-b3b2-51cb35cef67b,Mouth Care Oral Rinse,17856200205,CHLO15L,
01d81e2c-d2d5-5972-b6cd-0560833a67ac,,,,"Medication/f966e388-68ca-5563-b1a4-14fc78670d04, Medication/afaa227b-137e-5d42-bfca-9ee5b6df560d"
01dda28f-64f5-5655-98e3-82dc459082c5,Prenatal Multivitamin,,,
01de7993-d20d-57d5-8ba4-39b55fc2502a,Nadolol,51079081220,NADO20,
01e12dcd-f022-5f06-8b9a-b004bead4d02,tetrahydrozoline,,,
01ec1595-79ed-5822-ad4b-cc8bb393f235,,,,"Medication/4fbe23c6-7b26-50d9-82e0-7b98d16d2403, Medication/bc6675a1-c3cb-5b4d-b3cf-6785e82e695e"
01ec6f7e-d5e8-5389-a351-0c9f23bfea8c,Salsalate,00904125061,SALS500T,
01f99a13-b3e6-5f64-ae2f-f629d67e4347,,,,"Medication/3a35c0ce-6032-5d30-a7d6-b60062f19e0b, Medication/1d4b28db-bb7c-5eda-b447-37e28a2773a3"
01f9c21c-a9aa-5fbb-84a7-0c2a936a99fe,,,,"Medication/c7d7170f-ab87-5920-a414-869a43fd01f9, Medication/ccfce183-62ba-54a3-8901-c75ba97f0356"
01fb4387-774d-55ba-8e3e-c3749cfffca1,,,,"Medication/b227d7cb-cafc-5f53-9247-61c4d851fcc0, Medication/3f0ea91b-152c-5457-830e-6a92d3113f26"
01fc2b6f-2216-557e-a7ea-e42bf5c8c2cb,PEMEtrexed,00002762301,PEME500I,
02011aa2-0a9b-54ce-b987-f799d8592f31,Ropinirole,43547027410,ROPI5,
0205c015-cead-55f4-ba48-1c0c309a4213,Keppra XR,50474059866,LEVE500XRBN,
02077ea8-315f-5e84-b43f-ad4559406f65,,,,"Medication/f7c28477-b7fe-57dd-85a8-868f335a6a86, Medication/3b3a088a-65c9-5599-937d-c6769aec3a08"
02080cca-7522-5ddd-a09d-020cebd0c25d,Aspirin (Rectal),00574703612,ASA600R,
0209a408-c273-5c53-a2ea-4e65c5ac523a,Prenatal,,,
020d57a1-4772-520d-a79f-f8bac536850e,"Niacinamide 1g, 3g,,",00536406801,NIACPKIT,
02111eca-0349-50fb-8c1c-dedc601d2587,Memantine,63629338303,MEMA5,
02113e4e-598c-540c-997b-92b23740eb06,Fentora,,,
0216dcc5-1be6-5a9c-9eab-3736c1085a71,,,,"Medication/6cb2ce3e-8187-5990-a717-5ec18387180b, Medication/d1a0b7d0-d7f0-5ba3-919b-b69406ecf9b5"
0217b0be-815f-5d79-8457-1a16c3629a43,MethylPREDNISolone Sodium Succ,00009079601,MPRED0,
021c6dd3-d2f7-5395-8a34-1f06a4a774d6,tobramycin,00065064305,TOBRFES,
021f9d40-d463-51c0-9904-f6a5e5f5684d,Fentanyl Patch,60505700702,FENT50P,
02201752-3383-5294-bd39-d3d029cc3b47,Divalproex (EXTended Release),68084077601,DIVA250,
02214ebf-26c1-5816-9040-0b71216eb205,WP Thyroid,,,
022226b3-6ddf-57c0-9de6-a438c2d5051e,Exelon (rivastigmine) 9.5 mg patch,00078050215,RIVA9.5P,
022240a5-de48-5fc6-9dbe-e313251c358b,Hepa,00641040025,HEPA5I,
022a449e-ab01-5185-9c08-50320d0f8bab,Emend,,,
022c6925-5b5f-5ee4-a55c-f5a452dc29a0,Carbamazepin,54092017212,CARB200ER,
022cc0cf-9804-5850-a981-06c277f7e980,,,,"Medication/039f7713-5399-561b-9b86-d214737bacd5, Medication/7056176e-4b66-51da-aaa5-1e78551fdb18"
022d0ca7-1540-5632-ae64-bba2ecc94281,ferrous sulfate elixir,,,
022f2e54-3fb1-50a0-8182-65b8a761fb3e,,,,"Medication/2bf8179a-4581-5bc6-badd-2cb3b41905ab, Medication/2b2d3a39-ca72-5dfc-a66f-e13c931529c8"
022fb704-e70e-522f-a970-1848969da032,,,,"Medication/b1bd3963-d3f0-5ee8-97ea-658ecf013f45, Medication/12c97313-a5a2-5239-99e5-9110945e552e, Medication/cee865eb-0914-5c0e-93c1-427cf9e1dc91"
0230e433-7753-5761-ad81-7744960ff68c,Dilantin,00071036524,DILA30,
0231f78b-305a-5b38-9b6c-47e3cb1a2155,Montelukast Sodium,00006011728,MONT10,
02358f6e-16f4-5ab9-941f-87c090be2d4e,Jadenu (deferasirox),,,
023604d7-6420-58e3-8fb6-350012ea3c45,Lipiodol,,LIPI10I,
02375362-c81b-5f30-b792-a3f79b309dc8,,,,"Medication/25f46693-e70a-5234-b9c6-f12847b1e969, Medication/2b2d3a39-ca72-5dfc-a66f-e13c931529c8"
02375ac2-2b6f-51aa-a114-e1307b46f159,Azopt 1% Ophth  (*NF* ),00065027510,BRIN1E,
0237870c-bdbb-5a38-b7af-2feb24facc6f,Klor-Con M20,00245004101,,
0239e255-21ce-560f-b9b6-5c19e7af6008,rifam,68084035801,RIFA300,
023a94a5-5d5e-5172-8e39-278a16399c8d,Ondansetron ODT,00093730165,ONDA4ODT,
023da25e-b5fe-54b7-b13f-d2c6839ba870,Octreotide Acetate,25021045301,OCTR500S,
0242e8a6-fad0-5b90-882d-e7db1d0b18b7,PHENOb,00603150858,PB20EL,
0242feaa-3cf0-5dfd-a610-dfc1dd602f25,Phenylephrine,66758001604,PHEN50I,
0245ade7-9900-5bf9-bed4-be4d5e755ea5,Tamsulosin,00904640161,TAMS.4,
0247adcd-86e9-5328-8781-4dd6bd984721,,,,"Medication/944a92a6-853e-5895-872a-3d9b46bb6057, Medication/4697bd5d-61b1-5224-b362-58b21e618078"
02492faa-ad22-5cfd-96f3-3c52051a90f6,Dabigatran,,,
0249df23-fcab-583e-a79c-c76632e84bbb,Lidocaine ,00054350049,LIDOVISC,
025158e4-c85a-5226-a1e0-ee45d850e681,Artificial Tears Preserv. Free,11980002515,ARTTS,
025754b1-c9fa-51fe-b947-363055180669,NexIUM 24HR,00186502228,ESOM20,
0259be80-e4ec-5986-b84e-2d1e332540f8,Duragesic,00781711155,FENT25P,
025f0120-0b80-5641-afa3-150523bcfca9,Nafcillin,44567022210,NAFC2IMBP,
025f77de-74d0-56dc-9851-dd33c9d1e3b0,,,,"Medication/4c3f0b3b-ba79-5199-9646-77a2ff94d557, Medication/ccfce183-62ba-54a3-8901-c75ba97f0356"
025f8e3f-0912-57f0-b269-73f972d11888,,,,"Medication/9cb461fb-7761-5e08-bfe2-f13eb4cb3c3e, Medication/7c46a14c-af29-58d1-9e4d-6a064c39d856"
025fa816-38c8-5175-907d-2452e2c16503,temazepam,51079041820,TEMA15,
